问题,回答
2022年中国餐饮业收入是多少？,2022年餐饮业收入4.39万亿元人民币
疫情对中国的餐饮业收入有什么影响？,2022年餐饮行业收入4.39万亿元人民币，三年累计损失近3.5万亿
阿里巴巴发布的2023财年全年财报披露了什么最新消息？,阿里巴巴发布的2023财年全年财报披露了盒马上市的最新消息，阿里巴巴已批准盒马启动上市流程，预计将在未来6到12个月内完成。
阿里巴巴的改革计划有哪些内容？,阿里巴巴于3月底启动的改革计划正在快速高效推进，其中盒马、菜鸟启动上市计划，云智能集团将从阿里巴巴集团完全分拆独立走向上市，阿里国际数字商业集团启动外部融资，六大业务集团正式成立董事会。
为什么盒马会率先走向上市？,盒马作为阿里巴巴探索新零售的标杆，已形成清晰的商业模式和较为明确的盈利前景。阿里巴巴集团最新财报显示，集团董事会已批准和任命六大业务集团董事会。盒马一直被业界认为阿里巴巴组织变革后，率先走向上市的业务公司之一。
盒马唯一的核心竞争力是什么？,侯毅表示，盒马唯一的核心竞争力是商品力。
盒马在哪些方面曾经走了弯路？,侯毅在接受采访时表示，盒马在2018年、2019年走了较多的弯路，一是过于注重本地化忽视差异化，二是过分强调“民生”而没有关注“消费升级”。
盒马采用什么模式进行业态发展？,盒马一直采用开大做小的模式来进行业态发展，通过物流、供应链、商品优势，来解决不同消费场域和覆盖密集度问题，从而迭代出新业态，满足不同层级消费需求。
盒马如何进行组织架构升级？,侯毅发布内部信，宣布盒马完成新一轮组织架构升级，建设数字化多业态矩阵，服务更广泛消费者。具体来说，盒马围绕多业态升级组织，成立三大事业部+三大中台的“三横三纵”业务架构，纵向三大事业部以满足和引领消费需求为目标，持续进行价值创造；横向三大中台以打造高效的数字化体系为目标，持续进行能力建设。
侯毅在2022盒马新零供大会上认为什么是零售业唯一的核心竞争能力？,侯毅认为商品力是零售业唯一的核心竞争能力，体现在品质升级和价格优势两方面。
盒马如何实施“向上走”和“向下走”策略？,向上走，盒马鲜生+盒马云超、盒马X会员店为主，以差异化为导向，基于消费者洞察将所有商品重做一遍；向下走，依托盒马奥莱和盒马邻里，通过供应链重构，把商品价格打到大卖场的一半。
盒马今年实施的三全战略是什么？,盒马今年实施的三全战略是全业态、全渠道、全品类。
盒马宣布启动的“全球供应链”战略有什么作用？,盒马宣布启动的“全球供应链”战略可以实现经典“王牌单品“快速引入、潮流创新商品首发和自有品牌源头定制，从丰富性、独特性、价格竞争力三个维度全面提升盒马商品力。
盒马如何重新定义预制菜？,盒马发起预制菜生态联盟，要重新定义预制菜。侯毅认为预制菜的发展不可逆，未来将成生鲜第一大品类，而超市的商品结构也将迎来革命性变化。
盒马的自有品牌、大进口和预制菜业务的权重如何？,今年初，自有品牌、大进口和预制菜，在盒马分别被列为一级部门，预制菜业务的权重进一步上升。
盒马对阿里巴巴集团的贡献如何？,阿里巴巴集团发布的2023财年全年财报显示，中国零售商业的直营及其他收入为2749.54亿元，同比增长6%，主要是由于盒马和阿里健康的直营业务收入增长所贡献。
盒马的经营业绩如何？,截至2023年3月31日止三个月，盒马继续增强其销售能力并提高运营效率，经营业绩因此录得正数。
意大利菜在很多人的记忆中是什么样的场景？,在很多80、90后的记忆中，想到吃意大利菜的场景是高级和浪漫。
萨莉亚的价格如何？,萨莉亚的价格很亲民，例如20元一份披萨、14元一份意大利面、饮品8元无限续杯、香烤蜗牛只要18元，就算是单价最贵的牛排和羊排，一盘也只要49元，而且萨莉亚还有6元一杯的葡萄酒。
萨莉亚被称为什么？,萨莉亚被称为“西餐界的沙县小吃”和“意大利沙县”。
